2025-08-18 12:00:15	INFO	The current API version is out of date. Please update database.
2025-08-18 12:00:16	INFO	FORCE mode is enabled
2025-08-18 12:00:29	INFO	Starting XML import from https://angebote.paerke.ch/export/xml/b5f8cc3daccc5bec1e8ce711f76fb6eef351590a
2025-08-18 12:00:29	INFO		Imported offer with ID 49737
2025-08-18 12:00:29	INFO		Imported offer with ID 50329
2025-08-18 12:00:29	INFO		Imported offer with ID 49112
2025-08-18 12:00:29	INFO		Imported offer with ID 47743
2025-08-18 12:00:29	INFO		Imported offer with ID 50808
2025-08-18 12:00:29	INFO		Imported offer with ID 46386
2025-08-18 12:00:29	INFO		Imported offer with ID 50697
2025-08-18 12:00:29	INFO		Imported offer with ID 46473
2025-08-18 12:00:29	INFO		Imported offer with ID 50648
2025-08-18 12:00:29	INFO		Imported offer with ID 43762
2025-08-18 12:00:29	INFO		Imported offer with ID 50981
2025-08-18 12:00:29	INFO		Imported offer with ID 50156
2025-08-18 12:00:29	INFO		Imported offer with ID 50157
2025-08-18 12:00:29	INFO		Imported offer with ID 50982
2025-08-18 12:00:29	INFO		Imported offer with ID 45749
2025-08-18 12:00:29	INFO		Imported offer with ID 50703
2025-08-18 12:00:29	INFO		Imported offer with ID 50462
2025-08-18 12:00:29	INFO		Imported offer with ID 51131
2025-08-18 12:00:29	INFO		Imported offer with ID 51132
2025-08-18 12:00:29	INFO		Imported offer with ID 51043
2025-08-18 12:00:29	INFO		Imported offer with ID 49565
2025-08-18 12:00:29	INFO		Imported offer with ID 50929
2025-08-18 12:00:29	INFO		Imported offer with ID 51044
2025-08-18 12:00:29	INFO		Imported offer with ID 51045
2025-08-18 12:00:29	INFO		Imported offer with ID 51046
2025-08-18 12:00:29	INFO		Imported offer with ID 48823
2025-08-18 12:00:29	INFO		Imported offer with ID 51047
2025-08-18 12:00:29	INFO		Imported offer with ID 51048
2025-08-18 12:00:29	INFO		Imported offer with ID 49943
2025-08-18 12:00:29	INFO		Imported offer with ID 51049
2025-08-18 12:00:29	INFO		Imported offer with ID 50969
2025-08-18 12:00:29	INFO		Imported offer with ID 51050
2025-08-18 12:00:29	INFO		Imported offer with ID 51051
2025-08-18 12:00:29	INFO		Imported offer with ID 50337
2025-08-18 12:00:29	INFO		Imported offer with ID 51052
2025-08-18 12:00:29	INFO		Imported offer with ID 51053
2025-08-18 12:00:29	INFO		Imported offer with ID 50890
2025-08-18 12:00:29	INFO		Imported offer with ID 50702
2025-08-18 12:00:29	INFO		Imported offer with ID 51140
