2025-08-19 06:48:02	INFO	FORCE mode is enabled
2025-08-19 06:48:08	INFO	Starting XML import from https://angebote.paerke.ch/export/xml/22f64ba4637bad5aa666923ad9a0b0c07346e55c
2025-08-19 06:48:08	INFO		Imported offer with ID 48258
2025-08-19 06:48:08	INFO		Imported offer with ID 50431
2025-08-19 06:48:08	INFO		Imported offer with ID 50437
2025-08-19 06:48:08	INFO		Imported offer with ID 48500
2025-08-19 06:48:08	INFO		Imported offer with ID 50877
2025-08-19 06:48:08	INFO		Imported offer with ID 50326
2025-08-19 06:48:08	INFO		Imported offer with ID 49351
2025-08-19 06:48:08	INFO		Imported offer with ID 50374
2025-08-19 06:48:08	INFO		Imported offer with ID 50959
2025-08-19 06:48:08	INFO		Imported offer with ID 49785
2025-08-19 06:48:08	INFO		Imported offer with ID 49566
2025-08-19 06:48:08	INFO		Imported offer with ID 50976
2025-08-19 06:48:08	INFO		Imported offer with ID 51115
2025-08-19 06:48:08	INFO		Imported offer with ID 51003
2025-08-19 06:48:08	INFO		Imported offer with ID 51121
2025-08-19 06:48:08	INFO		Imported offer with ID 50892
2025-08-19 06:48:08	INFO		Imported offer with ID 50880
2025-08-19 06:48:08	INFO		Imported offer with ID 50825
2025-08-19 06:48:08	INFO		Imported offer with ID 51112
2025-08-19 06:48:08	INFO		Imported offer with ID 49567
2025-08-19 06:48:08	INFO		Imported offer with ID 45233
2025-08-19 06:48:08	INFO		Imported offer with ID 48801
2025-08-19 06:48:08	INFO		Imported offer with ID 49040
2025-08-19 06:48:08	INFO		Imported offer with ID 50938
2025-08-19 06:48:08	INFO		Imported offer with ID 50375
2025-08-19 06:48:08	INFO		Imported offer with ID 48498
2025-08-19 06:48:08	INFO		Imported offer with ID 45183
2025-08-19 06:48:08	INFO		Imported offer with ID 45184
2025-08-19 06:48:08	INFO		Imported offer with ID 51127
2025-08-19 06:48:08	INFO		Imported offer with ID 1234
2025-08-19 06:48:08	INFO		Imported offer with ID 24559
2025-08-19 06:48:08	INFO		Imported offer with ID 29678
2025-08-19 06:48:08	INFO		Imported offer with ID 49230
2025-08-19 06:48:08	INFO		Imported offer with ID 45554
2025-08-19 06:48:08	INFO		Imported offer with ID 43474
2025-08-19 06:48:08	INFO		Imported offer with ID 45429
2025-08-19 06:48:08	INFO		Imported offer with ID 1381
2025-08-19 06:48:08	INFO		Imported offer with ID 45476
2025-08-19 06:48:08	INFO		Imported offer with ID 25218
2025-08-19 06:48:08	INFO		Imported offer with ID 50672
2025-08-19 06:48:08	INFO		Imported offer with ID 45494
2025-08-19 06:48:08	INFO		Imported offer with ID 24563
2025-08-19 06:48:08	INFO		Imported offer with ID 49312
2025-08-19 06:48:08	INFO		Imported offer with ID 9338
2025-08-19 06:48:08	INFO		Imported offer with ID 9359
2025-08-19 06:48:08	INFO		Imported offer with ID 9584
2025-08-19 06:48:08	INFO		Imported offer with ID 9361
2025-08-19 06:48:08	INFO		Imported offer with ID 44255
2025-08-19 06:48:08	INFO		Imported offer with ID 27012
2025-08-19 06:48:08	INFO		Imported offer with ID 25494
2025-08-19 06:48:08	INFO		Imported offer with ID 48006
2025-08-19 06:48:08	INFO		Imported offer with ID 51067
2025-08-19 06:48:08	INFO		Imported offer with ID 30006
2025-08-19 06:48:08	INFO		Imported offer with ID 27013
2025-08-19 06:48:08	INFO		Imported offer with ID 30014
2025-08-19 06:48:08	INFO		Imported offer with ID 36556
2025-08-19 06:48:08	INFO		Imported offer with ID 24557
2025-08-19 06:48:08	INFO		Imported offer with ID 40592
2025-08-19 06:48:08	INFO		Imported offer with ID 25833
2025-08-19 06:48:08	INFO		Imported offer with ID 9393
2025-08-19 06:48:08	INFO		Imported offer with ID 2143
2025-08-19 06:48:08	INFO		Imported offer with ID 37821
2025-08-19 06:48:08	INFO		Imported offer with ID 2144
2025-08-19 06:48:08	INFO		Imported offer with ID 25510
2025-08-19 06:48:08	INFO		Imported offer with ID 25509
2025-08-19 06:48:08	INFO		Imported offer with ID 50036
2025-08-19 06:48:08	INFO		Imported offer with ID 45487
2025-08-19 06:48:08	INFO		Imported offer with ID 40865
2025-08-19 06:48:08	INFO		Imported offer with ID 45477
2025-08-19 06:48:08	INFO		Imported offer with ID 45677
2025-08-19 06:48:08	INFO		Imported offer with ID 48005
2025-08-19 06:48:08	INFO		Imported offer with ID 42994
2025-08-19 06:48:08	INFO		Imported offer with ID 43625
2025-08-19 06:48:08	INFO		Imported offer with ID 50953
2025-08-19 06:48:08	INFO		Imported offer with ID 33924
