2026-03-10 15:29:36	INFO	Starting XML import from https://angebote.paerke.ch/export/xml/b5f8cc3daccc5bec1e8ce711f76fb6eef351590a?since=1771515967
2026-03-10 15:29:36	INFO		Deleted offer with ID 36520
2026-03-10 15:29:36	INFO		Deleted offer with ID 36736
2026-03-10 15:29:36	INFO		Deleted offer with ID 37007
2026-03-10 15:29:36	INFO		Deleted offer with ID 37716
2026-03-10 15:29:36	INFO		Deleted offer with ID 37023
2026-03-10 15:29:36	INFO		Deleted offer with ID 37015
2026-03-10 15:29:36	INFO		Deleted offer with ID 38821
2026-03-10 15:29:36	INFO		Deleted offer with ID 38596
2026-03-10 15:29:36	INFO		Deleted offer with ID 38607
2026-03-10 15:29:36	INFO		Deleted offer with ID 39361
2026-03-10 15:29:36	INFO		Deleted offer with ID 37768
2026-03-10 15:29:36	INFO		Deleted offer with ID 40059
2026-03-10 15:29:36	INFO		Deleted offer with ID 40553
2026-03-10 15:29:36	INFO		Deleted offer with ID 40552
2026-03-10 15:29:36	INFO		Deleted offer with ID 40062
2026-03-10 15:29:36	INFO		Deleted offer with ID 41644
2026-03-10 15:29:36	INFO		Deleted offer with ID 42140
2026-03-10 15:29:36	INFO		Deleted offer with ID 42420
2026-03-10 15:29:36	INFO		Deleted offer with ID 42700
2026-03-10 15:29:36	INFO		Deleted offer with ID 37014
2026-03-10 15:29:36	INFO		Deleted offer with ID 42422
2026-03-10 15:29:36	INFO		Deleted offer with ID 42423
2026-03-10 15:29:36	INFO		Deleted offer with ID 40060
2026-03-10 15:29:36	INFO		Deleted offer with ID 42421
2026-03-10 15:29:36	INFO		Deleted offer with ID 42424
2026-03-10 15:29:36	INFO		Deleted offer with ID 41640
2026-03-10 15:29:36	INFO		Deleted offer with ID 42425
2026-03-10 15:29:36	INFO		Deleted offer with ID 43449
2026-03-10 15:29:36	INFO		Deleted offer with ID 38597
2026-03-10 15:29:36	INFO		Deleted offer with ID 43651
2026-03-10 15:29:36	INFO		Deleted offer with ID 38981
2026-03-10 15:29:36	INFO		Deleted offer with ID 33928
2026-03-10 15:29:36	INFO		Deleted offer with ID 39359
2026-03-10 15:29:36	INFO		Deleted offer with ID 44647
2026-03-10 15:29:36	INFO		Deleted offer with ID 44758
2026-03-10 15:29:36	INFO		Deleted offer with ID 44621
2026-03-10 15:29:36	INFO		Deleted offer with ID 45185
2026-03-10 15:29:36	INFO		Deleted offer with ID 45485
2026-03-10 15:29:36	INFO		Deleted offer with ID 46527
2026-03-10 15:29:36	INFO		Deleted offer with ID 46828
2026-03-10 15:29:36	INFO		Deleted offer with ID 47298
2026-03-10 15:29:36	INFO		Deleted offer with ID 48593
2026-03-10 15:29:36	INFO		Deleted offer with ID 44542
2026-03-10 15:29:36	INFO		Deleted offer with ID 48058
2026-03-10 15:29:36	INFO		Deleted offer with ID 48881
2026-03-10 15:29:36	INFO		Deleted offer with ID 43383
2026-03-10 15:29:36	INFO		Deleted offer with ID 43429
2026-03-10 15:29:36	INFO		Deleted offer with ID 45186
